Row(year=u'1977', station=u'179950', value=-42.5)
Row(year=u'2014', station=u'192840', value=-42.5)
Row(year=u'1984', station=u'123480', value=-39.2)
Row(year=u'1984', station=u'191900', value=-39.2)
Row(year=u'1981', station=u'166870', value=-44.0)
Row(year=u'2001', station=u'112530', value=-44.0)
Row(year=u'1965', station=u'189780', value=-44.0)
Row(year=u'1979', station=u'112170', value=-44.0)
Row(year=u'2006', station=u'169860', value=-40.6)
Row(year=u'1986', station=u'167860', value=-44.2)
Row(year=u'1988', station=u'170790', value=-39.9)
Row(year=u'1961', station=u'181900', value=-39.5)
Row(year=u'1964', station=u'166810', value=-39.5)
Row(year=u'2004', station=u'166940', value=-39.7)
Row(year=u'1997', station=u'179960', value=-40.2)
Row(year=u'1956', station=u'160790', value=-45.0)
Row(year=u'1980', station=u'191900', value=-45.0)
Row(year=u'1971', station=u'166870', value=-44.3)
Row(year=u'1978', station=u'155940', value=-47.7)
Row(year=u'1996', station=u'155790', value=-41.7)
Row(year=u'2010', station=u'191910', value=-41.7)
Row(year=u'1950', station=u'155910', value=-42.0)
Row(year=u'1962', station=u'181900', value=-42.0)
Row(year=u'1951', station=u'155910', value=-42.0)
Row(year=u'1968', station=u'179950', value=-42.0)
Row(year=u'2011', station=u'179960', value=-42.0)
Row(year=u'1994', station=u'179960', value=-40.5)
Row(year=u'1983', station=u'191900', value=-38.2)
Row(year=u'1989', station=u'166870', value=-38.2)
Row(year=u'1955', station=u'160790', value=-41.2)
Row(year=u'1958', station=u'159970', value=-43.0)
Row(year=u'1954', station=u'113410', value=-36.0)
Row(year=u'2013', station=u'179960', value=-40.7)
Row(year=u'2007', station=u'169860', value=-40.7)
Row(year=u'1960', station=u'167710', value=-40.0)
Row(year=u'1960', station=u'155910', value=-40.0)
Row(year=u'1960', station=u'160790', value=-40.0)
Row(year=u'1985', station=u'159970', value=-43.4)
Row(year=u'1985', station=u'166870', value=-43.4)
Row(year=u'1963', station=u'181900', value=-41.0)
Row(year=u'1972', station=u'167860', value=-37.5)
Row(year=u'1999', station=u'192830', value=-49.0)
Row(year=u'1957', station=u'159970', value=-37.8)
Row(year=u'2005', station=u'155790', value=-39.4)
Row(year=u'1966', station=u'179950', value=-49.4)
Row(year=u'1970', station=u'179950', value=-39.6)
Row(year=u'2002', station=u'169860', value=-42.2)
Row(year=u'1982', station=u'113410', value=-42.2)
Row(year=u'1976', station=u'192830', value=-42.2)
Row(year=u'1953', station=u'183760', value=-38.4)
Row(year=u'2012', station=u'191910', value=-42.7)
Row(year=u'1998', station=u'169860', value=-42.7)
Row(year=u'1995', station=u'182910', value=-37.6)
Row(year=u'2000', station=u'169860', value=-37.6)
Row(year=u'1952', station=u'192830', value=-35.5)
Row(year=u'2003', station=u'179960', value=-41.5)
Row(year=u'1969', station=u'181900', value=-41.5)
Row(year=u'1993', station=u'191900', value=-39.0)
Row(year=u'1975', station=u'157860', value=-37.0)
Row(year=u'1967', station=u'166870', value=-45.4)
Row(year=u'1974', station=u'166870', value=-35.6)
Row(year=u'1974', station=u'179950', value=-35.6)
Row(year=u'1973', station=u'166870', value=-39.3)
Row(year=u'1991', station=u'179960', value=-39.3)
Row(year=u'2008', station=u'179960', value=-39.3)
Row(year=u'1987', station=u'123480', value=-47.3)
Row(year=u'1992', station=u'179960', value=-36.1)
Row(year=u'1959', station=u'159970', value=-43.6)
Row(year=u'1990', station=u'147270', value=-35.0)
Row(year=u'1990', station=u'166870', value=-35.0)
Row(year=u'2009', station=u'179960', value=-38.5)
