MAX temps:
Row(max_temperature=36.1, year=u'1975')
Row(max_temperature=35.4, year=u'1992')
Row(max_temperature=34.7, year=u'1994')
Row(max_temperature=34.4, year=u'2010')
Row(max_temperature=34.4, year=u'2014')
Row(max_temperature=33.9, year=u'1989')
Row(max_temperature=33.8, year=u'1982')
Row(max_temperature=33.7, year=u'1968')
Row(max_temperature=33.5, year=u'1966')
Row(max_temperature=33.3, year=u'2002')
Row(max_temperature=33.3, year=u'1983')
Row(max_temperature=33.2, year=u'1986')
Row(max_temperature=33.2, year=u'1970')
Row(max_temperature=33.0, year=u'2000')
Row(max_temperature=33.0, year=u'1956')
Row(max_temperature=32.8, year=u'1959')
Row(max_temperature=32.7, year=u'1991')
Row(max_temperature=32.7, year=u'2006')
Row(max_temperature=32.6, year=u'1988')
Row(max_temperature=32.5, year=u'2011')
Row(max_temperature=32.4, year=u'1999')
Row(max_temperature=32.2, year=u'2003')
Row(max_temperature=32.2, year=u'1973')
Row(max_temperature=32.2, year=u'1953')
Row(max_temperature=32.2, year=u'2007')
Row(max_temperature=32.2, year=u'2008')
Row(max_temperature=32.2, year=u'1955')
Row(max_temperature=32.1, year=u'2005')
Row(max_temperature=32.0, year=u'1969')
Row(max_temperature=32.0, year=u'1979')
Row(max_temperature=31.9, year=u'2001')
Row(max_temperature=31.8, year=u'1977')
Row(max_temperature=31.8, year=u'1997')
Row(max_temperature=31.6, year=u'2013')
Row(max_temperature=31.5, year=u'2009')
Row(max_temperature=31.3, year=u'2012')
Row(max_temperature=31.2, year=u'1972')
Row(max_temperature=31.2, year=u'1964')
Row(max_temperature=31.2, year=u'1971')
Row(max_temperature=31.1, year=u'1976')
Row(max_temperature=31.0, year=u'1963')
Row(max_temperature=31.0, year=u'1961')
Row(max_temperature=30.8, year=u'1995')
Row(max_temperature=30.8, year=u'1996')
Row(max_temperature=30.8, year=u'1958')
Row(max_temperature=30.8, year=u'1978')
Row(max_temperature=30.6, year=u'1974')
Row(max_temperature=30.5, year=u'1954')
Row(max_temperature=30.4, year=u'1980')
Row(max_temperature=30.4, year=u'1952')
Row(max_temperature=30.2, year=u'2004')
Row(max_temperature=30.2, year=u'1990')
Row(max_temperature=29.8, year=u'1985')
Row(max_temperature=29.8, year=u'1957')
Row(max_temperature=29.7, year=u'1993')
Row(max_temperature=29.7, year=u'1981')
Row(max_temperature=29.6, year=u'1987')
Row(max_temperature=29.5, year=u'1967')
Row(max_temperature=29.5, year=u'1984')
Row(max_temperature=29.4, year=u'1950')
Row(max_temperature=29.4, year=u'1960')
Row(max_temperature=29.2, year=u'1998')
Row(max_temperature=28.5, year=u'1951')
Row(max_temperature=28.5, year=u'1965')
Row(max_temperature=27.4, year=u'1962')

MIN temps:
Row(max_temperature=-49.4, year=u'1966')
Row(max_temperature=-49.0, year=u'1999')
Row(max_temperature=-47.7, year=u'1978')
Row(max_temperature=-47.3, year=u'1987')
Row(max_temperature=-45.4, year=u'1967')
Row(max_temperature=-45.0, year=u'1980')
Row(max_temperature=-45.0, year=u'1956')
Row(max_temperature=-44.3, year=u'1971')
Row(max_temperature=-44.2, year=u'1986')
Row(max_temperature=-44.0, year=u'2001')
Row(max_temperature=-44.0, year=u'1965')
Row(max_temperature=-44.0, year=u'1981')
Row(max_temperature=-44.0, year=u'1979')
Row(max_temperature=-43.6, year=u'1959')
Row(max_temperature=-43.4, year=u'1985')
Row(max_temperature=-43.0, year=u'1958')
Row(max_temperature=-42.7, year=u'2012')
Row(max_temperature=-42.7, year=u'1998')
Row(max_temperature=-42.5, year=u'2014')
Row(max_temperature=-42.5, year=u'1977')
Row(max_temperature=-42.2, year=u'1982')
Row(max_temperature=-42.2, year=u'2002')
Row(max_temperature=-42.2, year=u'1976')
Row(max_temperature=-42.0, year=u'1951')
Row(max_temperature=-42.0, year=u'1962')
Row(max_temperature=-42.0, year=u'1950')
Row(max_temperature=-42.0, year=u'2011')
Row(max_temperature=-42.0, year=u'1968')
Row(max_temperature=-41.7, year=u'2010')
Row(max_temperature=-41.7, year=u'1996')
